timestamp,equity
2019-01-02,10213.0919
2019-01-03,9961.2713
2019-01-04,10011.8844
2019-01-07,9964.0506
2019-01-08,9927.9161
2019-01-09,9915.4469
2019-01-10,9724.0802
2019-01-11,9710.2785
2019-01-14,9635.0032
2019-01-15,9963.8458
2019-01-16,9995.3103
2019-01-17,9969.0595
2019-01-18,9949.9900
2019-01-21,9892.4744
2019-01-22,9796.9971
2019-01-23,9767.5277
2019-01-24,9823.3926
2019-01-25,9808.7996
2019-01-28,9911.5722
2019-01-29,9900.6890
2019-01-30,9912.0015
2019-01-31,10074.1441
2019-02-01,10138.1256
2019-02-04,10096.0291
2019-02-05,10086.6561
2019-02-06,10150.2550
2019-02-07,10355.8066
2019-02-08,10337.2055
2019-02-11,10321.3318
2019-02-12,10434.0731
2019-02-13,10350.9699
2019-02-14,10330.0899
2019-02-15,10430.5540
2019-02-18,10500.4752
2019-02-19,10519.5354
2019-02-20,10599.4948
2019-02-21,10309.2634
2019-02-22,10423.8310
2019-02-25,10333.1807
2019-02-26,10170.0590
2019-02-27,10207.3268
2019-02-28,10288.0203
2019-03-01,10251.5217
2019-03-04,10150.4001
2019-03-05,10162.1873
2019-03-06,10165.9730
2019-03-07,10318.0151
2019-03-08,10404.4190
2019-03-11,10433.9483
2019-03-12,10559.3261
2019-03-13,10547.1277
2019-03-14,10458.9643
2019-03-15,10529.4638
2019-03-18,10600.2785
2019-03-19,10587.0463
2019-03-20,10513.6983
2019-03-21,10547.2532
2019-03-22,10293.7084
2019-03-25,10374.0121
2019-03-26,10434.3233
2019-03-27,10272.7106
2019-03-28,10288.2587
2019-03-29,10198.3290
2019-04-01,10284.7314
2019-04-02,10084.7791
2019-04-03,10001.6306
2019-04-04,10081.6016
2019-04-05,10207.2588
2019-04-08,9996.1722
2019-04-09,9955.3838
2019-04-10,9996.9993
2019-04-11,9945.0933
2019-04-12,10112.2345
2019-04-15,10000.8759
2019-04-16,10045.3330
2019-04-17,9949.0579
2019-04-18,10097.8922
2019-04-19,10104.7940
2019-04-22,10076.2731
2019-04-23,9912.2127
2019-04-24,10087.8399
2019-04-25,10172.8580
2019-04-26,10258.6726
2019-04-29,10384.6369
2019-04-30,10430.2490
2019-05-01,10372.9612
2019-05-02,10299.2881
2019-05-03,10226.1426
2019-05-06,10375.4517
2019-05-07,10233.2684
2019-05-08,10181.4503
2019-05-09,10157.9063
2019-05-10,10189.8650
2019-05-13,10257.6632
2019-05-14,10138.7669
2019-05-15,9972.4898
2019-05-16,9981.0248
2019-05-17,10111.1339
2019-05-20,10196.7810
2019-05-21,10227.9476
2019-05-22,10204.7142
2019-05-23,10243.8221
2019-05-24,10228.1148
2019-05-27,10320.9049
2019-05-28,10248.1995
2019-05-29,10271.1801
2019-05-30,10269.0457
2019-05-31,10334.0857
2019-06-03,10366.6007
2019-06-04,10640.2826
2019-06-05,10809.3199
2019-06-06,10980.8354
2019-06-07,10766.7636
2019-06-10,10739.8126
2019-06-11,10684.1148
2019-06-12,10750.6471
2019-06-13,10515.3126
2019-06-14,10648.2786
2019-06-17,10771.4774
2019-06-18,10640.9194
2019-06-19,10546.3697
2019-06-20,10471.3669
2019-06-21,10485.3248
2019-06-24,10561.9695
2019-06-25,10787.7723
2019-06-26,10776.1814
2019-06-27,10868.5874
2019-06-28,10895.2608
2019-07-01,11096.8151
2019-07-02,11189.1582
2019-07-03,11352.3577
2019-07-04,11240.2333
2019-07-05,11228.7412
2019-07-08,11147.4706
2019-07-09,11325.2669
2019-07-10,11409.9391
2019-07-11,11385.3913
2019-07-12,11344.1229
2019-07-15,11409.3136
2019-07-16,11339.5462
2019-07-17,11244.2272
2019-07-18,11308.4626
2019-07-19,11597.1826
2019-07-22,11579.0755
2019-07-23,11525.1325
2019-07-24,11400.5278
2019-07-25,11258.5899
2019-07-26,11327.8284
2019-07-29,11434.4009
2019-07-30,11445.7410
2019-07-31,11494.1079
