timestamp,symbol,open,high,low,close,volume,provider,interval
2020-01-01T00:00:00+00:00,SPY,100.02,100.22,99.82,100.02,1000000,synthetic,1d
2020-01-02T00:00:00+00:00,SPY,100.1248,100.325,99.8405,100.0406,1000000,synthetic,1d
2020-01-03T00:00:00+00:00,SPY,100.1528,100.3531,99.8617,100.0618,1000000,synthetic,1d
2020-01-06T00:00:00+00:00,SPY,100.0977,100.2979,99.8834,100.0835,1000000,synthetic,1d
2020-01-07T00:00:00+00:00,SPY,100.0301,100.3061,99.8301,100.1059,1000000,synthetic,1d
2020-01-08T00:00:00+00:00,SPY,100.0328,100.3291,99.8327,100.1288,1000000,synthetic,1d
2020-01-09T00:00:00+00:00,SPY,100.1243,100.3526,99.9241,100.1523,1000000,synthetic,1d
2020-01-10T00:00:00+00:00,SPY,100.2422,100.4426,99.976,100.1763,1000000,synthetic,1d
2020-01-13T00:00:00+00:00,SPY,100.3001,100.5007,100.0005,100.2009,1000000,synthetic,1d
2020-01-14T00:00:00+00:00,SPY,100.2673,100.4679,100.0256,100.226,1000000,synthetic,1d
2020-01-15T00:00:00+00:00,SPY,100.1971,100.4521,99.9967,100.2516,1000000,synthetic,1d
2020-01-16T00:00:00+00:00,SPY,100.1774,100.4783,99.9771,100.2777,1000000,synthetic,1d
2020-01-17T00:00:00+00:00,SPY,100.2505,100.5049,100.05,100.3043,1000000,synthetic,1d
2020-01-20T00:00:00+00:00,SPY,100.3734,100.5742,100.1306,100.3313,1000000,synthetic,1d
2020-01-21T00:00:00+00:00,SPY,100.4581,100.659,100.158,100.3587,1000000,synthetic,1d
2020-01-22T00:00:00+00:00,SPY,100.4518,100.6527,100.1858,100.3865,1000000,synthetic,1d
2020-01-23T00:00:00+00:00,SPY,100.3858,100.6156,100.185,100.4147,1000000,synthetic,1d
2020-01-24T00:00:00+00:00,SPY,100.3467,100.6441,100.146,100.4433,1000000,synthetic,1d
2020-01-27T00:00:00+00:00,SPY,100.3966,100.673,100.1959,100.4721,1000000,synthetic,1d
2020-01-28T00:00:00+00:00,SPY,100.5163,100.7173,100.3002,100.5012,1000000,synthetic,1d
2020-01-29T00:00:00+00:00,SPY,100.6224,100.8236,100.3295,100.5306,1000000,synthetic,1d
2020-01-30T00:00:00+00:00,SPY,100.6443,100.8456,100.3591,100.5602,1000000,synthetic,1d
2020-01-31T00:00:00+00:00,SPY,100.5891,100.7912,100.3879,100.59,1000000,synthetic,1d
2020-02-03T00:00:00+00:00,SPY,100.5348,100.8212,100.3337,100.6199,1000000,synthetic,1d
2020-02-04T00:00:00+00:00,SPY,100.5588,100.8513,100.3577,100.65,1000000,synthetic,1d
2020-02-05T00:00:00+00:00,SPY,100.6668,100.8815,100.4655,100.6801,1000000,synthetic,1d
2020-02-06T00:00:00+00:00,SPY,100.7871,100.9887,100.5089,100.7103,1000000,synthetic,1d
2020-02-07T00:00:00+00:00,SPY,100.8369,101.0386,100.5391,100.7405,1000000,synthetic,1d
2020-02-10T00:00:00+00:00,SPY,100.798,100.9996,100.5692,100.7707,1000000,synthetic,1d
2020-02-11T00:00:00+00:00,SPY,100.734,101.0025,100.5325,100.8009,1000000,synthetic,1d
2020-02-12T00:00:00+00:00,SPY,100.7313,101.0326,100.5298,100.8309,1000000,synthetic,1d
2020-02-13T00:00:00+00:00,SPY,100.8201,101.0626,100.6185,100.8609,1000000,synthetic,1d
2020-02-14T00:00:00+00:00,SPY,100.9463,101.1482,100.6888,100.8906,1000000,synthetic,1d
